10.jpg,14:54:43.000,645.2948722365661,-3486.5957595538007,-708.3395876488398
40.jpg,14:54:46.000,645.2857832002569,-3486.5987818836206,-708.3373729411335
70.jpg,14:54:48.000,645.3889980018346,-3486.628769113917,-708.2914428775773
100.jpg,14:54:49.000,645.5050331596522,-3486.6707971405385,-708.2608496243365
130.jpg,14:54:51.000,645.8894701073234,-3487.016443665583,-708.2848873730215
160.jpg,14:54:53.000,646.0835319908106,-3487.5119173420653,-708.3013002032292
190.jpg,14:54:54.000,646.194787041823,-3487.724514220652,-708.3383284493029
220.jpg,14:54:56.000,646.5686383011212,-3488.0425563728086,-708.3800498585679
250.jpg,14:54:58.000,647.1466370113212,-3488.3641877866494,-708.4598143393057
280.jpg,14:54:59.000,647.4615611789162,-3488.4592323798042,-708.4614709807915
310.jpg,14:55:01.000,648.1341769927385,-3488.445823868037,-708.450781327811
340.jpg,14:55:02.000,648.4762521764235,-3488.3521331778456,-708.4759954871968
370.jpg,14:55:04.000,649.0279279939955,-3487.933165531226,-708.4792193134881
400.jpg,14:55:06.000,649.369716162319,-3487.1715657450995,-708.4686891590438
430.jpg,14:55:07.000,649.6154260129135,-3486.8389108052897,-708.4370060534072
460.jpg,14:55:09.000,649.7455895299397,-3486.0842599000807,-708.450599127425
490.jpg,14:55:11.000,649.4556292437826,-3485.421059936226,-708.4726382037684
520.jpg,14:55:12.000,649.2104076342446,-3485.2124658210287,-708.4879665135725
550.jpg,14:55:14.000,648.6565287580197,-3484.776078103474,-708.5043466869031
580.jpg,14:55:16.000,648.0265772208966,-3484.6481113542595,-708.4708093679337
610.jpg,14:55:17.000,647.6701705973996,-3484.643427035712,-708.4578303152646
640.jpg,14:55:19.000,647.2095670730741,-3485.15381047256,-708.464196616027
670.jpg,14:55:21.000,646.7451374628408,-3485.590883864001,-708.4536795525125
700.jpg,14:55:22.000,646.4877577684499,-3485.8620382220242,-708.4024319468617
730.jpg,14:55:24.000,646.1145052095708,-3486.572093717833,-708.246198530592
760.jpg,14:55:26.000,646.0270593164832,-3487.435881481247,-708.1983551960088
790.jpg,14:55:27.000,646.0471667090987,-3487.89725493188,-708.1981773746274
820.jpg,14:55:29.000,646.0786938120988,-3488.9935048872876,-708.144372837522
850.jpg,14:55:30.000,646.0324851794778,-3489.5681075419507,-708.1397315970776
880.jpg,14:55:32.000,646.0194871709398,-3490.5634818092776,-708.159553278673
910.jpg,14:55:34.000,645.8557142691648,-3491.409473927995,-708.1507645582069
940.jpg,14:55:35.000,645.8266219668186,-3491.822498184424,-708.1654738235031
970.jpg,14:55:37.000,646.0031005365727,-3492.695929292827,-707.9086353086493
